Timestamp,"When you feel sudden pain (bump into something, step on a lego, get punched etc.. ) what do you exclaim?",What is your native language? 
11/6/2017 0:48:32,ayyyy,Arabic
11/6/2017 7:45:33,Shit or fuck,English
11/6/2017 7:45:38,Ach,Greek
11/6/2017 7:45:48,"Ow, ouch, ou-wah",Hmong
11/6/2017 7:46:42,Agh,English
11/6/2017 7:47:56,ouch,English
11/6/2017 7:48:33,ouch,English
11/6/2017 7:51:38,Ah,English
11/6/2017 7:53:12,owe,English
11/6/2017 7:58:41,ope,english
11/6/2017 8:01:38,"Ai, fuck",English 
11/6/2017 8:03:34,AHHHH,Vietnamese
11/6/2017 8:05:50,fuck!,english
11/6/2017 8:07:36,"""Ouch!""   ""Shit!""  ""Damn!""",English
11/6/2017 8:08:30,"something in English - depends on the situation (ow, oof, ah, fuck, etc.)",English
11/6/2017 8:09:50,"Typically it's some kind of groan, or a sharp breath in through clenched teeth",English
11/6/2017 8:11:35,Owww,English
11/6/2017 8:12:30,Shit,English
11/6/2017 8:14:13,ow,English
11/6/2017 8:14:46,Eep ,English 
11/6/2017 8:15:19,Ouch!,English
11/6/2017 8:17:39,"""AY""",Arabic
11/6/2017 8:17:56,ow,Cantonese
11/6/2017 8:27:31,Au,Vietnamese
11/6/2017 8:29:26,Aoo,Ukrainian 
11/6/2017 8:30:25,Ahh,English
11/6/2017 8:34:41,Ow!,English
11/6/2017 8:46:23,Oh darn,English
11/6/2017 8:50:28,ow!,English
11/6/2017 9:02:32,Kurwa!,Polish
11/6/2017 9:09:14,Ahh,English
11/6/2017 9:10:47,Ow!,English
11/6/2017 9:11:05,"""Ouch"" or ""Crap""",English
11/6/2017 9:13:33,"""ay!"" ",Spanish
11/6/2017 9:19:43,shazbot,english
11/6/2017 9:19:58,ow,english
11/6/2017 9:23:44,Ah!,English
11/6/2017 9:25:12,Ow (or fuck),English
11/6/2017 9:42:42,Ow,English
11/6/2017 9:50:28,Ugh,English 
11/6/2017 10:05:22,ahh,english
11/6/2017 10:07:29,Aghhh,English
11/6/2017 10:11:40,Crap,Hmong 
11/6/2017 10:13:12,"Ah, a7a :D",Arabic
11/6/2017 10:17:11,ow,English
11/6/2017 10:22:37,Fuck,Bengali
11/6/2017 10:22:41,OHOHOOOoeoeowewewewewe,English
11/6/2017 10:25:56,Aaaah,Bengali
11/6/2017 10:28:08,uhh,English
11/6/2017 10:29:14,shit,english
11/6/2017 10:36:25,ugh,English
11/6/2017 10:40:24,Ahhhh,English
11/6/2017 10:44:05,Fuck,English 
11/6/2017 10:45:34,Ayah ,English and Spanish 
11/6/2017 10:57:12,mmmmhmmmm,Dutch 
11/6/2017 11:28:59,ow,English
11/6/2017 11:44:27,Ay!!,English
11/6/2017 12:05:41,hhhn or mmmmnn,English
11/6/2017 12:09:21,ahya,Korean
11/6/2017 12:29:04,Ow!/Ouch!,English
11/6/2017 13:03:14,ahhh,english
11/6/2017 13:04:32,MMMMHHHHHHH,English
11/6/2017 13:05:34,Ach,English
11/6/2017 13:06:03,Ow,English
11/6/2017 13:19:43,Yikes!!!,English
11/6/2017 13:20:19,O-U-C-H,Spanish
11/6/2017 13:20:34,ahh!,English 
11/6/2017 14:24:10,Uh,English
11/6/2017 15:01:13,AHHHH,English
11/6/2017 15:52:43,Ahh,English
11/6/2017 15:56:30,shit,English
11/6/2017 16:00:43,Fuck,English
11/6/2017 17:07:18,FFFFUUUU!!!!!!!!,English
11/6/2017 17:52:47,Fuck ,English
11/6/2017 17:53:00,Fuck,English
11/6/2017 17:53:24,Aaaaaa fuck shit,American
11/6/2017 17:58:34,Agh,English
11/6/2017 20:40:45,ungh,Sarcasm... or BS... But both are generally spoken in English
11/6/2017 20:54:16,Aaiya,Nepali
11/6/2017 21:34:34,shit,English
11/6/2017 21:36:20,Ooh,English
11/7/2017 9:00:24,oof!,English
11/7/2017 10:07:54,fuk,English
11/7/2017 10:26:47,ugh,english
11/7/2017 13:08:30,oww,English
11/7/2017 16:27:56,ooh,English
11/7/2017 21:13:04,SHIT,english
11/8/2017 15:53:26,Ouch,English
11/12/2017 13:22:42,A7a,Arabic