Timestamp,Do you drink the last 10% of your favorite hot beverage WITHOUT re-heating?,Are you a student? 
11/20/2017 6:04:02,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 6:24:24,Not always. It's too lukewarm by then to enjoy.,Sadly yes.
11/20/2017 6:27:29,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 6:34:33,Not always. It's too lukewarm by then to enjoy.,Heck yeah!
11/20/2017 7:03:00,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 7:04:36,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 7:04:58,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 7:17:13,Not always. It's too lukewarm by then to enjoy.,Nope.
11/20/2017 7:17:59,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 7:22:23,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 7:29:19,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 7:37:24,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 7:37:58,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 7:40:55,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 7:57:00,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 8:00:22,Not always. It's too lukewarm by then to enjoy.,Heck yeah!
11/20/2017 8:03:41,Not always. It's too lukewarm by then to enjoy.,Nope.
11/20/2017 8:05:42,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 8:06:43,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 8:07:26,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 8:09:50,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 8:10:12,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 8:11:32,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 8:36:22,Not always. It's too lukewarm by then to enjoy.,Sadly yes.
11/20/2017 8:36:51,Not always. It's too lukewarm by then to enjoy.,Heck yeah!
11/20/2017 8:37:50,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 8:47:45,Not always. It's too lukewarm by then to enjoy.,Sadly yes.
11/20/2017 8:49:19,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 8:49:23,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 8:49:38,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 8:50:48,Not always. It's too lukewarm by then to enjoy.,Sadly yes.
11/20/2017 8:54:40,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 9:04:24,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 9:04:55,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 9:06:19,Not always. It's too lukewarm by then to enjoy.,Heck yeah!
11/20/2017 9:19:35,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 9:44:18,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 9:44:34,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 9:51:22,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 9:56:01,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 10:13:57,Not always. It's too lukewarm by then to enjoy.,Heck yeah!
11/20/2017 10:16:06,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 10:28:59,Not always. It's too lukewarm by then to enjoy.,Sadly yes.
11/20/2017 10:31:26,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 10:38:27,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 10:50:19,Not always. It's too lukewarm by then to enjoy.,Heck yeah!
11/20/2017 10:57:02,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 11:02:38,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 11:05:56,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 12:00:53,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 12:08:45,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 12:35:22,Not always. It's too lukewarm by then to enjoy.,Heck yeah!
11/20/2017 12:56:04,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 13:00:08,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 13:01:21,Of course! Why would you waste such a good drink?,Nope.
11/20/2017 13:02:41,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 13:06:34,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 13:51:17,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 14:37:33,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 16:16:06,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 16:58:27,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 17:02:28,Of course! Why would you waste such a good drink?,Heck yeah!
11/20/2017 19:15:32,Of course! Why would you waste such a good drink?,Sadly yes.
11/20/2017 20:41:30,Of course! Why would you waste such a good drink?,Heck yeah!
11/21/2017 11:21:58,Not always. It's too lukewarm by then to enjoy.,Heck yeah!
11/21/2017 17:00:05,Of course! Why would you waste such a good drink?,Heck yeah!